ID,Title,Author,ISBN,"Total Copies","Available Copies","Record Status"
2428,"How is a Crayon made?","Oz Charles",9786220212379,2,2,active
2429,"How Italian Food","Mariano John F.",9780550330000,1,1,active
2430,"How Maps and Globes Help us","David Hackler",9788863467390,4,4,active
2431,"How My Body Works","Play An Orbis",9789008899113,1,1,active
2432,"How things Work",Unknown,9781600916922,2,2,active
2433,"How to Catch Trophy Freshwater Game Fish","Richey David",9782737989797,1,1,active
2434,"How to Change Someone You Love","Kamm Brad",9786085481866,1,1,active
2435,"How to cook Like A Top Chop","Rick Bayless",9784630009985,2,2,active
2436,"How to Design and Evaluate Research in ..","Jack R. Traenkel",9783361137110,2,2,active
2437,"How to Design and Evaluate Research in…","Jack R. Fraenkel",9785198545823,1,1,active
2438,"How to do about anything on a computer",Unknown,9782034015359,2,2,active
2439,"How To Do Just About Anything On a Computer",Unknown,9784660756996,1,1,active
2440,"How To Do Just About Anything on a Com…",Unknown,9784946672019,2,2,active
2441,"How To Form Your Own Corporation w/out","Ted Nicholas",9788240281823,4,4,active
2442,"How To Get and Key Accounts","L.H. Clark",9783879402625,1,1,active
2443,"How to Heal Yorself when No One Else Can","Amy B. Scher",9788581745275,1,1,active
2444,"How To Say It","Rosalie Maggio",9785364235701,1,1,active
2445,"How To Stop Smoking Forever",Unknown,9784129182854,1,1,active
2446,"How to Write About Contemporary Art","William Gilda",9788161255903,4,4,active
2447,"How Tough Could It Be?","Murphy Austin",9786100792304,2,2,active
2448,"Howling Near Heaven","Seigel Marcia B.",9786600128382,2,2,active
2449,"HP CD- Writer Plus",Unknown,9787101232967,5,5,active
2450,"HR in Hospitality Management","3G E-Learning",9785120485074,4,4,active
2451,HTML,"Evangeline Madrid- Hirata",9786534460428,2,2,active
2452,HTML,"Tito B. Amoto Jr.",9787634601919,1,1,active
2453,"HTML & Web Design","Junard Lebajan",9783057347243,6,6,active
2454,"HTML (Special Ed)","Evangeline Madrid - Hirata",9785861768221,1,1,active
2455,"HTML 5 and CSC3 Introductory","Vodnik Sasha",9781272670863,6,6,active
2456,"HTML 5 Games","Seidelin Jacob",9786656224199,10,10,active
2457,"HTML and CSS Introductory","Vodnik Sasha",9786878494776,7,7,active
2458,"HTML and Web Design","Junard lebajan",9781290350068,10,10,active
2459,"Huck Finn Among the Critics","M. Thomas Inge",9788489742239,1,1,active
2460,"Hugh Johnson's Pocket Wine Book","Mitchell Beazley",9784340466825,2,2,active
2461,"Hugh Johnsons Pocket Wine Book 2003","Beazley Mitchell",9782156495251,1,1,active
2462,"Hugh Johsons","Metchell Beazley",9789206441114,2,2,active
2463,"Human Anatomy and Physiology","Terry R. Martin",9783881827300,2,2,active
2464,"Human and Cultural Geopgraphy","Fred M. Shelley",9786343594888,10,10,active
2465,"Human Behavior","William Revisa",9782188496806,10,10,active
2466,"Human Behavior & Crisis Management","Edwardo Jesster P.",9786405110216,7,7,active
2467,"Human Behavior & Victimology","Dempsey O. Depayso",9785434123013,5,5,active
2468,"Human Behavior & Victimology","Arnold Greccia Rago",9786049860379,9,9,active
2469,"Human Behavior & Victimology","Joenard Contreras Duno",9781860032035,5,5,active
2470,"Human Behavior and Crisis Management","Juan L. agas",9789789990115,4,4,active
2471,"Human Behavior And Crisis Management","Guevara Richardo",9784003471319,10,10,active
2472,"Human Behavior And Crisis Management","Eduardo Jesster",9787197860167,10,10,active
2473,"Human Behavior and Crisis Management","Castillo Rodolfo V.",9785908419475,5,5,active
2474,"Human Behavior And Victimology","Arnold Grecia Rago",9788550113753,10,10,active
2475,"Human Behavior and Victonology","Dempsey O. Depasyo",9785821072887,5,5,active
2476,"Human Behavior at Work","Davis, Keith",9788072790371,2,2,active
2477,"Human Behavior in Organization","Robert G. Medina",9786160881970,4,4,active
2478,"Human Behavior In Organization","Conception Rodil Martires",9782239964773,10,10,active
2479,"Human behavior in Organization","Ricky W. Griffin",9781837530762,10,10,active
2480,"Human Behavior Management","Pedrito R. Pereda",9780248085571,1,1,active
2481,"Human Bilogy and Health","Keith Kasnot",9788002443230,10,10,active
2482,"Human Development","Nica Dalisan-Togana",9782216906963,7,7,active
2483,"Human NeuroAnatomy","Malcolinn B. Carpenter",9785746706751,8,8,active
2484,"Human Relations And Social Development","Yasushi Kikuchi",9786913952155,4,4,active
2485,"Human Resource Forcasting & Planning","Marivic Flores",9781642610703,4,4,active
2486,"Human Resource Information System","Francis Banaag",9783508424318,5,5,active
2487,"Human Resource Management","Pedrito R. Pereda",9788392484813,8,8,active
2488,"Human Rights and  International Humanitarian Law","Jacinto M. Dela Cruz Jr.",9780041691054,5,5,active
2489,"Human Rights Education","Victor T. Tulalian",9783021516750,10,10,active
2490,"Human Rights Education","Danilo L. Tancangco",9788646339531,10,10,active
2491,"Human Trafficking","Maggy Lee",9788110501471,6,6,active
2492,"Human Trafficking","Danilo Tancangco",9784278961577,7,7,active
2493,Humanities,"Leland Reyes",9788551281772,1,1,active
2494,"Humanities Today","Doria Kristina Molina",9781239597813,2,2,active
2495,"Hunter's Moon","Karen Robards",9785426097230,2,2,active
2496,"I Am Scout","Shields charles J.",9780244654672,2,2,active
2497,"I Call The Shots","Mller Johny",9782051710732,2,2,active
2498,"I Call The Shots","Inlander Charles b.",9788715647833,1,1,active
2499,"I Cant Believe I Said That!","Gifford Kathie Lee",9780317543803,2,2,active
2500,"I Know a Place","Beverly Armento",9787414857260,1,1,active
2501,"I Love You","Martinborough Gordon O.",9782925468622,1,1,active
2502,"I Pledge Allegiance","D.K. Webb",9782884076647,2,2,active
2503,"I Put A Spell on You","Selzer Adam",9780763271350,1,1,active
2504,"I.C. Topia (Programming and Database)","Joy T. de Jesus Jr.",9788676259236,5,5,active
2505,"I.T Bytes","A.R. Del Rosario",9788790604882,2,2,active
2506,"I.T Project Management","Jay Estaris",9789320553403,7,7,active
2507,"IAI 2006 ( Membership Directory )",Unknown,9780892739615,6,6,active
2508,"IBM Dictionary of Computing",Unknown,9789764053569,6,6,active
2509,"IBM Pc Assembly Language & Program","Peter Abel",9780789775542,2,2,active
2510,"Ibong Adarna","Florante C. Garcia",9786190384229,1,1,active
2511,"Ibong Adarna","Almario Virgilio S.",9783627320225,2,2,active
2512,"Ibong Adarna (Isang Makabuluhang …","Florante C. Garcia",9787111757696,1,1,active
2513,"Ice Cream Delights",Unknown,9787162042987,1,1,active
2514,"Ice Cream Maker Recipes",Unknown,9781448698301,2,2,active
2515,"ICT Fundamentals and Microsoft Office","Cyd Leongson",9782169039220,6,6,active
2516,"If Wishes Were Horses","Barday Robert",9782698014262,1,1,active
2517,"If You Leave Me, Can I Come Too?","Heimel Cynthia",9787106801779,2,2,active
2518,"IIrish Trivia on Top","Grace Jennifer",9783163705005,1,1,active
2519,"Impact Player","Richardson Bobby",9789332672444,2,2,active
2520,"Imposible Odds","Duncan Dave",9789317294760,2,2,active
2521,"Impossible Colds","Duncan Dave",9788083906549,1,1,active
2522,"Impossible Odds","Duncan Dave",9782599851935,1,1,active
2523,"Improving Energy Decicions","Franke Bert",9789327272819,9,9,active
2524,"Improving Students Sttudy Skills & Reading","Baraceros Esther L.",9789163504969,5,5,active
2525,"In Defence of Lawyers","Tulalian Victor",9782667652723,4,4,active
2526,"In Defense of Lawyers","Tulalian Victor T.",9784539749951,8,8,active
2527,"In God's Image","Miguel Rapatan",9787088640670,4,4,active
2528,"In its Steps","Charles M. Sheldon",9786020801926,2,2,active
2529,"In One Era and Out The Other","Levenson Sam",9782215439042,1,1,active
2530,"In Pursuit of the Big Horse","Lee Philip Forman",9788909322539,2,2,active
2531,"In Search of Excellence","Thomas J. Peters",9783202351026,1,1,active
2532,"In Telekis Footsteps","Heaton Tom",9785501935457,2,2,active
2533,"in the Company of Cheerful Ladies","Mc Call Smith Alexander",9783698884398,1,1,active
2534,"In The Kitchen With Rosie","Daley Rosie",9783324362962,1,1,active
2535,"In The Water","Bundey Nikki",9780805983128,1,1,active
2536,"In the Water They Can't see you Cry","Beard Amanda",9784129075965,2,2,active
2537,"In This Mountain","Karon Jan",9789992012376,2,2,active
2538,"In This Steps","Charles M. Sheldon",9783177495428,2,2,active
2539,"Incident in Mona Passage","Douglas Savage",9780629419377,1,1,active
2540,"Inclusive Education in Early Childhood","Helen B. Boholano",9789192267132,6,6,active
2541,"Income Taxation","Susan Ballada",9787536264755,4,4,active
2542,"Income Taxation","Ballada Jovian A.",9788646120962,5,5,active
2543,"Indian Recipe",Unknown,9787300992846,1,1,active
2544,"Indian Restaurant Curry & Recipe",Unknown,9782403211535,2,2,active
2545,"Indigenous Tourism the Commodification and Management of Culture","Mark Walsh",9785505143216,10,10,active
2546,"Industrial & Corporate Security Management","Joel M. Ajero",9781430877974,8,8,active
2547,"Industrial Electricity and Motor Controls","Miller Rex",9782479254221,9,9,active
2548,"Industrial Security Concepts","Dempsey O. Depayso",9788834581926,4,4,active
2549,"Industrial Security Management","Miller F. Peckley",9780487706763,9,9,active
2550,"Industrial Security Management","Nathaniel E. Laxa",9789333299862,10,10,active
2551,"Industrial Security Management","Bobier Dino B.",9781590257845,6,6,active
2552,"Industrial Security Management","Christian  Domingo",9784085858831,7,7,active
2553,"Industrial Security Management Manual","W.M Corpuz",9788256726202,10,10,active
2554,"Infancy in America","Alice Sterling Honig",9786729254351,2,2,active
2555,"Information Assurance & Security 1 & 2","Rolando Lansigan",9785196282225,9,9,active
2556,"Information Assurance ans Society 1 and 2","Dr. Rolando Lansigan",9785018256243,10,10,active
2557,"Information Management.","Dan Michael A. Cortez",9782863942017,7,7,active
2558,"Information Processing Keyboarding…","Judith A. Chiri",9782341499293,1,1,active
2559,"Information Processing Teacher Ed w/ Student…","Judith A. Chiri",9780966270266,4,4,active
2560,"Information Prosessing Keyboarding…","Judith A. Chiri",9780450956324,2,2,active
2561,"Information Security Analytics","Talabis Mark Ryan",9787400391013,4,4,active
2562,"Information Security: Principles and New Concepts","Carter Kadema",9783353892225,8,8,active
2563,"Information Systems Essentials","Stair Ralph M.",9787119360065,6,6,active
2564,"Information Technology Auditing & Assurance","James A. Han",9788277056463,4,4,active
2565,"Information Technology Essentials","Jocelyn G. Sta. Ines",9786076264386,4,4,active
2566,"Innovation and Progress in Artificial Intelligence","Rogerson Jeremy",9785009537238,9,9,active
2567,"Innovative Food Science & Emerging Technology","3G. E-Learning",9786176231332,6,6,active
2568,"Inquires, Investigations and Immersion","Basilan Ma. Leticia Jose C.",9786109441647,10,10,active
2569,"Inroduction of Philosophy of the Human ..","Mendoza Ernesto H.",9783165441376,5,5,active
2570,"Inrtoduction to Legal Philosophy","Crislito Pascual",9787768576060,5,5,active
2571,"Inside the Machine","Stokes Jon",9783494290461,10,10,active
2572,"Insider's Recipes Master Edition",Unknown,9787551887014,1,1,active
2573,"Insieme an Intermediate Italian Course","Romana habekovic",9787999324201,10,10,active
2574,"Installing Options in Your Personal Computer",Unknown,9784837444176,1,1,active
2575,"Instant Java Server Pages","Paul Tremdelt",9783456538693,1,1,active
2576,"Institutional  Connections","Eric L. Danglosi",9787902548533,2,2,active
2577,"Institutional Correction","Guererro Brian B.",9782689047231,7,7,active
2578,"Institutional Correction","Joner C. Villaluz",9786410095386,8,8,active
2579,"Institutional Correction with Addendum on","Villaluz Joner C.",9785742164357,2,2,active
2580,"Institutional Correction: The Institution- Based","Guerrerro Brian",9789900937814,10,10,active
2581,"Institutional Corrections","Annie A. Tumitit",9786047614370,6,6,active
2582,"Institutional Corrections","Eric L. Danglosi",9788443706611,8,8,active
2583,"Institutional Corrections with Adderdum on Act no.4103","Joner C. Villauz",9787564672638,8,8,active
2584,"Institutonal Materials in Drug Education","Manwong Rommel",9788154185897,7,7,active
2585,"Instructional Handbook On Police Photog..","Kalalang Sally S.",9780027729108,8,8,active
2586,"Instructional Handbook on Police Photography","Sally S. Kalalang",9788450786040,10,10,active
2587,"Instructional Materials in Theories of Crime Causation","Marvin M. Lumigat",9785660503375,5,5,active
2588,"Instructional Module on Special Crime investigation","Rommel K. Manwong",9786983306773,6,6,active
2589,"Instructional Module on Special Crime Investigation","Villaluz Joner C.",9783067182223,9,9,active
2590,"Instructional Module on Special Crime…","Villaluz Joner",9786794190875,7,7,active
2591,"Instructional Modules in Human Behavior  and Victimology","Arnold Grecia",9785385906734,2,2,active
2592,"Instruduction Materials in Drug Education..","Manwong Rommel K.",9786342898765,8,8,active
2593,Instrumentation,"3G E- Learning",9785504922171,4,4,active
2594,"Instrumentation and Control Systems","Bolton William",9784861867064,4,4,active
2595,"Instruments and Measurements for Electronics","Clyde N. Herrick",9783201629072,2,2,active
2596,"Integral Calculus","Montero Thelma C.",9789928919823,1,1,active
2597,"Integral Calculus","Molina Ma. Felisa A.",9781826533712,2,2,active
2598,"Integral Calculus","Lactuan Leo L.",9780864942692,7,7,active
2599,"Integrated Accounting for Windows","Dale H. Klooster",9782039831350,6,6,active
2600,"Integrated Accounting on Microcomputers","Dale H. Klooster",9789014599670,6,6,active
2601,"Integrated Cirtuit","3G E- Learning",9786921958736,4,4,active
2602,"Integrated Management of Chilhood Illness",Unknown,9785498243887,4,4,active
2603,"Intensive Care","John F. Murry",9784302178162,9,9,active
2604,"Interactive Reader","Holt McDougal",9788066431587,2,2,active
2605,"Intermediate Accounting","S.S. Pasion",9780164928150,8,8,active
2606,"Intermediate Accounting","K. Fred Skousen",9783701709267,4,4,active
2607,"Intermediate Accounting","Harry Simons",9784070308808,9,9,active
2608,"Intermediate Accounting","Walter B. Meigs",9781726282963,8,8,active
2609,"Intermediate Algebra","Margaret L. Lial",9782448500724,8,8,active
2610,"Intermediate Algebra",Edgerton,9788959274116,8,8,active
2611,"Intermediate Problem Solving & Data Structures","Paul Helman",9788069196124,7,7,active
2612,"Intermediate Statistics","Gabriel G. Uriarte",9787662080823,10,10,active
2613,"International Anti-Collision","Cecilio Ramirez",9780391702639,10,10,active
2614,"International Marketing","Philip R. Cateora",9784443596245,9,9,active
2615,"International Marketing Principles","Michael R. Czinkota",9788701204248,6,6,active
2616,"International Marketing Research","C. Samuel Craig",9785369091234,1,1,active
2617,"International Politics on the World Stage","John T. Rourke",9785302849762,7,7,active
2618,"International Relations Conflict & Coopertaion","Conway W. Henderson",9780396702436,10,10,active
2619,"Internet Gambling Report II","Anthony Cabot",9785240553646,7,7,active
2620,"Internet Marketing & E-Commerce","Ward A. Hanson",9781875403646,8,8,active
2621,"Internet of Things Design and Implementation","Amelia Ward",9788821597732,10,10,active
2622,"Internet Programming w/VB Script & Javascript","Kathleen Kalata",9785466232363,8,8,active
2623,"Interpretation of Bloodstain Evidence","William G. Eckert",9786679986494,1,1,active
2624,"Interviewing and Investigation","Don Rabon",9782594972208,4,4,active
2625,"Intitutional Connections","Mechelle C. Gempesao",9782986226995,2,2,active
2626,"Intoduction to AutomatacTheory, Languages, and Computation","John E. hopcroft",9780666179968,1,1,active
2627,"Intoduction to Cybercrime and Environmental Laws","Adelene Maghinay Florendo",9783569992993,5,5,active
2628,"Intoduction To Java Programming","Pomperada Jake R.",9788335876880,10,10,active
2629,"Intoduction to MICE","Grayfield T. Bajao",9787792560417,7,7,active
2630,"Intorducing Needs and English for Specific …","James Dean Brown",9784820849315,5,5,active
2631,"Intorduction to Analytical Chemistry","Douglas A. Skoog",9783983912263,2,2,active
2632,"Intorduction to MySQL","Alexander A Hernandez",9780014407620,4,4,active
2633,"Intro. Cybercrime & Environmental Laws","Gerry J. Cano",9789143049138,10,10,active
2634,"Intro. Philippine Criminal Justice System","Brian B. Guerrero",9781038975287,6,6,active
2635,"Intro. to Cybercrime & Environmental Laws","Filibert Patrick F. Tad-awn",9782099865647,7,7,active
2636,"Intro. to Industrial Security Concepts","Dempsey O. Depayso",9782405920824,5,5,active
2637,"Intro. to Philippine Indigenous Communities","Dr. Bonifacio P. Bairan",9785309766918,5,5,active
2638,"Intro. to Qualitative Research Writing","Carlos Domingo Castino",9784896298055,8,8,active
2639,"Introducing English for Specific Purposes","Anthony Laurence",9788201753079,2,2,active
2640,"Introducing Linguistics","Sasha Ortega",9786618695722,8,8,active
2641,"Introduction cybercrime And Environmental Crimes","Mario A. Garcia",9784043474127,10,10,active
2642,"Introduction to  Forensic Science","Miller F. Peckley",9783137956105,6,6,active
2643,"Introduction to Advertising & Promotion","George E. Belch",9787773217507,4,4,active
2644,"Introduction to Analysis Chemistry","Douglas A. Skoog",9786192025991,5,5,active
2645,"Introduction to Analytical Chemistry","Douglas A. Skoong",9781938733703,8,8,active
2646,"Introduction to ART Appreciation","Arida Mariano M.",9784244474896,5,5,active
2647,"Introduction to Artificial Intelligence","Jake Pomperada",9784760786237,4,4,active
2648,"Introduction to Automata Theory, language","John E. Hopcroft",9781076519177,6,6,active
2649,"Introduction To C++ Programming","Pomperada Jake R.",9780851732893,9,9,active
2650,"Introduction to Calculus","Mapa Felina G.",9781456340919,6,6,active
2651,"Introduction to Circuit Theory","Madison Arnie",9785805581152,8,8,active
2652,"Introduction to Computer & Info Processing","Larry Long",9784496539169,2,2,active
2653,"Introduction to Computer Concepts","Juny Pilapil La Putt",9787700409302,1,1,active
2654,"Introduction to Computer Engineering","Franco P. Preparata",9784541840394,9,9,active
2655,"Introduction to Computer Fundamentals ..","Copernicus P. Pepito",9788221803969,10,10,active
2656,"Introduction to Computer Networking","Jake Rodriguez",9782038588644,7,7,active
2657,"Introduction to Computer Operations",Unknown,9780788026522,9,9,active
2658,"Introduction to Computer Programming & Logic","Abante Marmelo V.",9785164693336,8,8,active
2659,"Introduction to Computer Programming with Java","Jake Rodriguez Pomperada",9786230397448,6,6,active
2660,"Introduction to Computer Studies","Jake Rodriguez - Pomperada",9780880670890,10,10,active
2661,"Introduction to Computer Tech.","Effraim Turban",9780920199183,2,2,active
2662,"Introduction to Computers","Alexis Leon",9783113266112,2,2,active
2663,"Introduction to Computers & Info. Processing","Larry Long",9788485805266,2,2,active
2664,"Introduction to Criminolgy and Psychology…","Alviola Armando",9782119604720,5,5,active
2665,"Introduction to Criminology","Frank E. Hagan",9780539707748,1,1,active
2666,"Introduction to Criminology","Hugh D. Barlow",9784470823178,2,2,active
2667,"Introduction to Criminology","Ma. Theresa Ramonida Amparado",9781461995395,10,10,active
2668,"Introduction to Criminology","Dennis Delos Santos Lagumen",9786766262357,6,6,active
2669,"Introduction to Criminology","Adelene Maghinay",9789605302610,9,9,active
2670,"Introduction to Criminology","Tomas L. Cabrillas",9788402578709,9,9,active
2671,"Introduction to Criminology","Nicholas S. Caballero",9786860506302,5,5,active
2672,"Introduction to Criminology","Joenard Contreras Duno",9786360502811,7,7,active
2673,"Introduction to Criminology","Marcelo G. Catalino",9786409891036,9,9,active
2674,"Introduction To Criminology & Psychology …","Kalalang Sally S.",9789120302522,1,1,active
2675,"Introduction to Criminology & Psychology..","Alviola Armando A.",9789452375973,1,1,active
2676,"Introduction to Criminology and Psychology of Crimes","Julienne Sacyaben Leyaley",9789531926003,9,9,active
2677,"introduction to Criminology and Psychology..","Sally S. Kalalang",9780275745448,2,2,active
2678,"Introduction to Criminology, Thesis, Methods….","Frank E. Hagan",9789205489445,9,9,active
2679,"Introduction to Critical Nursing","Marilyn Lamborn",9783811808188,2,2,active
2680,"Introduction to Cruise Line","Nathaniel E. Laxa",9786558344568,8,8,active
2681,"Introduction to Cybercrime and Enviromenatal Law","Filiberth Patrick Tad - awan",9782295217974,7,7,active
2682,"Introduction to Cybercrime and Environmental Laws","Gerry S. Caño",9785660361623,4,4,active
2683,"Introduction to Cybercrime Investigation","Ambrosio Polok Petran",9788607047260,6,6,active
2684,"Introduction to Data Structures and Algorithms","Jake Rodriguez - Pomperada",9780235158509,7,7,active
2685,"Introduction to Desktop Publishing","Gabriela Lee",9785301731679,1,1,active
2686,"Introduction to Digital Logic Design","John Hayes",9785605879053,1,1,active
2687,"Introduction to Dynamic System Analysis","T.D Burton",9782441339543,5,5,active
2688,"Introduction to E- Commerce","Jeffrey F. Rayport",9789406453153,7,7,active
2689,"Introduction to Earth Science","Thompson Graham R.",9789057191893,2,2,active
2690,"Introduction to Economics","Roman D. Leano Jr.",9786646936569,8,8,active
2691,"Introduction to Economics IV","Cruz Peter T.",9788335974876,4,4,active
2692,"Introduction to Environmental Engineering","P. Aarne Vesilind",9788057023777,2,2,active
2693,"Introduction to Financial Accounting","Charles T. Horagren",9788430192205,1,1,active
2694,"Introduction to Fire Protection","Klinoff Robert",9785673332979,8,8,active
2695,"Introduction to Forensic Science","William G. Eckert",9782396440288,5,5,active
2696,"Introduction to Fox Pro","Copernicus P. Pepito",9785326769923,1,1,active
2697,"Introduction to Hospitality","John R. Walker",9782773923854,2,2,active
2698,"Introduction to HTML 5","Corpernicus P. Pepito",9782023209141,9,9,active
2699,"Introduction to HTML 5 ( Series 1- Simple Web)","Copernicus P. Pepito",9781693328442,1,1,active
2700,"Introduction to HTML 6 Programming","Copernicus P. Pepito",9783471998298,1,1,active
2701,"Introduction to Human Computer Interaction","Teodoro Revano",9787551545266,4,4,active
2702,"Introduction to Humanities ( Arts of Living )","Estolas, Josefina V.",9787569991383,1,1,active
2703,"Introduction to Humanities and the…","Claudio V. Tabotabo",9781006433221,5,5,active
2704,"Introduction To I.T. Application Tools in Business","Jake R. Pomperada",9782277773313,2,2,active
2705,"Introduction to ICT Specialization 1","Villa Samuel Jr.",9788066470708,7,7,active
2706,"Introduction to Info. Tech & Open Office","Charmagne M. Feria",9788503605953,5,5,active
2707,"Introduction To Information Technology","Faustino O. Reyes II",9789842410741,5,5,active
2708,"Introduction to Information Technology & Computer Fundamentals","Jerelyn Besuena",9780274067589,9,9,active
2709,"Introduction to Information Technology & Computer Fundamentals II","Jerelyn S. Besuena",9786762590621,5,5,active
2710,"Introduction to Information Technology and Computer","Jerelyn S. Besuena",9780363856469,4,4,active
2711,"Introduction to Inforrmation Technology","Charmagne M. Feria",9784974597933,1,1,active
2712,"Introduction to Infromation Technology","Charmagne Munoz Feria",9788399798494,1,1,active
2713,"Introduction to IT Application Tools in Business","Jake R. Pomperada",9781498609951,10,10,active
2714,"Introduction To Java 6 Programming","Copernicus P. Pepito",9785049326649,10,10,active
2715,"Introduction to JAVA Programming","Jake Pomperada",9782239461210,5,5,active
2716,"Introduction to JavaScript Programing","Copernicus P. Pepito",9788981159481,5,5,active
2717,"Introduction to JQuery Programming","Jake R. Pomperada",9783400127621,6,6,active
2718,"Introduction to Law","Vicente J. Francisco",9783984742258,5,5,active
2719,"Introduction to Law and The Legal System","Harold J. Grilliot",9787871888227,7,7,active
2720,"Introduction to Law Enforcement & Crimininal Justice","Henry M. Wrobleski",9787887058416,5,5,active
2721,"Introduction to Linguistics","Fromkin Victoria",9788061349566,7,7,active
2722,"Introduction to Linguistics","Jennifer Gonzales",9787998460580,6,6,active
2723,"Introduction to Literature","Lucivilla L. Marcos",9787949638303,2,2,active
2724,"Introduction to Literature English 104","Ruby B. Senatin",9789723610802,10,10,active
2725,"Introduction to Logic","Corazon L. Cruz",9786166201659,1,1,active
2726,"Introduction to Logic","Andrew H. Bachhuber",9785786457866,6,6,active
2727,"Introduction to Logic Design","Alan B. Marcovitz",9785575124764,6,6,active
2728,"Introduction to Mass Communications","Warren K. Agee",9780006875864,6,6,active
2729,"Introduction to Meeting, Incentives, Conferences & Events","Zenaida Lansangan",9788240516659,10,10,active
2730,"Introduction to Meeting, Incentives, Conferences & Events","Chester Dave G. Arenas",9785122444185,6,6,active
2731,"Introduction to Meetings, Incentives, Conventions & Exhibition (MICE) & Special Events for Tourism and Hospitality","Maria Arlene Disimulacion",9789740233862,8,8,active
2732,"Introduction to Operational Amplifier Theory…","John Wait",9786083570173,8,8,active
2733,"Introduction to Operations Research","Fredrick S. Hiller",9783630944234,1,1,active
2734,"Introduction to Organization and Management","Wilfred Min C. Velasco",9786020508986,8,8,active
2735,"Introduction to Philippine Criminal Justice ...","Guerrero Brian B.",9780941349093,5,5,active
2736,"Introduction to Phillipine Indigenous","Dr. Bonifacio P. Bairan",9781979797245,2,2,active
2737,"Introduction to Philosophy",Montemayor,9782841356942,6,6,active
2738,"Introduction to Philosophy","Christine Carmela R. Ramos",9784507356747,1,1,active
2739,"Introduction to Philosophy","Bonifacio P. Bairan",9780957394056,8,8,active
2740,"Introduction to Philosophy II","Christine Carmela R. Ramos",9788026029441,8,8,active
2741,"Introduction To Physical Geography","Robert N. Wallen",9780315892583,1,1,active
2742,"Introduction to Physical Theraphy and…","Tyrone Reyes",9789073420311,2,2,active
2743,"Introduction to Probability & Statistics","William Wendenhall",9787748675950,2,2,active
2744,"Introduction to Probability and Random…","Nik Hossein",9784186482300,1,1,active
2745,"Introduction to Psychology","Edward E. Smith",9789586841962,1,1,active
2746,"Introduction to Psychology","Rita L. Atkison",9783326058696,1,1,active
2747,"Introduction to Psychology","Jose Maria G. Pelayo III",9784276748316,10,10,active
2748,"Introduction to Psychology VII","Rod Protnik",9787306629319,10,10,active
2749,"Introduction to Research","Jessie F. Sergote",9781817882423,6,6,active
2750,"Introduction to Secure Programming","Rolan O. Algabra",9785594698901,7,7,active
2751,"Introduction to Sociology & Anthropology","Victorio Saquilayan",9782327237178,7,7,active
2752,"Introduction to Software Engineering","3G E Learning",9782237900650,1,1,active
2753,"Introduction to Special Education","Julieta A. Gregorio",9784870847798,10,10,active
2754,"Introduction to SQL Server 2008 Database Programming","Copernicus P.Pepito",9784176755391,2,2,active
2755,"Introduction to Statistical Methods","Christina P.Parel",9788890737817,1,1,active
2756,"Introduction to Statistics","Rene N. Argenal",9789157908940,2,2,active
2757,"Introduction to System Administration and Maintenance","Jake Rodriguez",9788962683844,6,6,active
2758,"Introduction to the Forensic Sciences","Richard Jonathan O. Taduran",9786380207611,2,2,active
2759,"Introduction to the Humanities","Custodiosa A. Sanchez",9783961219056,1,1,active
2760,"Introduction to the Humanities & Visual Performing","Lucivilla L. Marcos",9781881298861,9,9,active
2761,"introduction to the Humanities (Painting….","Doris Van de Bogart",9781820706693,10,10,active
2762,"Introduction to Tourism & Hospitality Industry","Sudhir Andrews",9781079237290,4,4,active
2763,"Introduction to Tourism & Hospitality Management","Rene D. Osorno",9786893348641,1,1,active
2764,"Introduction to Tourism and Hospitality Management","Gunther Faulkner",9787035067574,8,8,active
2765,"Introduction to Traffic Investigation and…","Aric Steven Frazier",9789683355706,8,8,active
2766,"Introduction to Turbo Pascal Programming","Copernicus P. Pepito",9787312315558,2,2,active
2767,"Introduction to Visual Basic 2008 Programing","Copernicus P. Pepito",9780570521877,9,9,active
2768,"Introduction to Windows","Rosario B. Butaran",9788444045887,1,1,active
2769,"Introductions to Philippine Criminal Justice System 2nd Edition","Atty. Brian B. Guerero",9781141470129,5,5,active
2770,"Introductions to Religions Experiences & Sprituality","Dr. Bonifacio P. Velasco",9785036871565,5,5,active
2771,"Introductions to World Religions And Beliefs","Ariola Mariano M.",9788910977971,10,10,active
2772,"Introductory Accounting","Solita A. Frias",9780234456842,8,8,active
2773,"Introductory Algebra 1","Jacobs Russel F.",9786794036647,6,6,active
2774,"Introductory Economics ( with Taxation, Agrarian Reform, & Cooperatives)","Roberta Laraga Omasas",9780163295734,10,10,active
2775,"Intruduction to Mathematical Modeling","Humi Mayer",9787831597572,10,10,active
2776,Intrumentation,Unknown,9782927318680,9,9,active
2777,"Intrumentation and Control System","Bolton William",9783029158549,10,10,active
2778,"Intrumentation Process Control","Kirk Franklyn",9782332416513,9,9,active
2779,"Intrustional Methodology in Languange….","Wright Rondall",9785483966074,8,8,active
2780,"Intstitutional Correction","Guerrero Brian B.",9784467462151,5,5,active
2781,"Inventory Management Control","Francis Banaag",9789584174918,9,9,active
2782,"Investagator's Handbook","Vicente G. Vinarao",9781705022184,7,7,active
2783,"Investigating Computer- Related Crime","Peter Stephenson",9781698141343,9,9,active
2784,"Investigation Mathematics","Hatfield Larry L.",9784760948376,10,10,active
